"V1","V2","V3","V4","V5","V6","V7","V8","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V26_0","V26_1","V26_2","V26_3","V26_4","V27","V27_0","V28","V29","V30","V31","V32","V33","V34"
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a",2,"20185",21.8818835,-102.2840963,25.0130004882812,1866.09997558594,1,,1,1,,,,1,1,0,0,1,0,0,,1,"##N/A##",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.115116549243739,0,100,60
"25-21-49-04","00c8ce64fe7d434f84d64e961f545a79",2,"9013",21.83183902,-102.28912068,39,1818,1,,1,1,,,,1,1,0,0,0,0,1,"mezcla residuos",1,"el informante no pudo estimar una cantidad aproximada de residuos totales",,,,,,"si conoce los bancos de alimentos, pero no ubica ninguno",,"##N/A##","##N/A##","##N/A##",0.683394312245489,0,130,54
"77-06-67-30","11f1b33a479b47a1b69e19f94e022a64",1,,,,,,1,,1,1,,,,1,1,1,1,0,0,0,,1,"no separa los residuos",,,,,,"no lleva registro de sus desperdicios",,"si tiene conocimiento del banco alimenticio, pero no conoce alguno","una parte del vegetal crudo lo usa para composta","##N/A##",0.326150364860031,0,100,63
"65-43-42-69","1011c2eddf2b4896b6c5a3a39ccbadaf",2,"20163",21.8821555,-102.2839497,27.7819995880127,1866.29992675781,1,,1,1,,,,1,1,1,0,0,0,0,,1,"##N/A##",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.815463011998433,0,100,60
"67-78-81-26","1ee18f378ee54e79b935488eef856ad7",2,"49756",,,,,3,,,,,,,,,,,,,,,2,"hace 4 meses está cerrado, se cambió de domicilio",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.645061827565106,0,100,60
"50-22-36-53","16b9280b8d654643a96a5f4370d6e720",2,"24392",21.9134743,-102.2942285,23.92799949646,1874.69995117188,1,,1,1,,,,1,1,0,0,1,0,0,,1,"##N/A##",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.108839048123378,0,100,60
"08-86-84-51","191252af015d45139bdae2e9445d0055",2,"20562",21.8817208,-102.2841403,23.5970001220703,1865.79992675781,1,,1,1,,,,1,1,0,0,1,0,0,,,,,,,,,,,,,,0.98737011104234,0,100,60
"29-53-62-96","1f451451d9bb4356a076cd03cf6f5395",2,"9153",21.8356466666667,-102.288711666667,0.800000011920929,1874.2,3,,,,,,,,,,,,,,,1,"Cambio de giro,  es un Centro Regional de Educación y Cultura  de la biodiversidad",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.717959428540412,0,130,53
"58-37-62-10","2e39f4002b7047e6806361ababbc884f",2,"6850390",21.8357704,-102.28466876,33,1940,1,,1,1,,,,1,1,,,,,,,1,"Nada es residuo alimenticio, todo producto caducado lo cambian los proveedores.",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.35662092517904,0,130,54
"54-31-39-72","25e3002992ec48679df3270aea8b3662",2,"49786",21.9708883333333,-102.292431666667,24.5,1863.5,1,,1,1,,,,1,1,1,0,0,0,0,,1,"##N/A##",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.927279273479841,0,100,57
"07-42-68-66","35f3597b869c44b982828854148c49fd",2,"36324",,,,,1,,1,1,,,,1,1,0,1,0,1,0,,1,"separan sus residuos y después lo regalan",,,,,,"si conoce el banco de datos",,"no lleva registro de sus residuos","##N/A##","##N/A##",0.959623138867143,0,100,63
"78-64-98-20","3c460462d6514825803a09ce35df7025",2,"6282383",21.9118108,-102.2965958,28.6079998016357,1872.40002441406,2,"es sucursal de bebidas",2,,,"##N/A##","##N/A##",,,,,,,,,1,"##N/A##",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.654507144659062,0,100,60
"70-77-87-59","3c92d73814b84f5eb49695b657083cb8",2,"34097",21.8315533333333,-102.290211666667,8.89999961853027,1824.1,1,,1,1,,,,1,1,0,0,1,0,0,,1,"no se tira nada",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.055058660942623,0,130,53
"55-95-73-76","43382bb17dff47429221517d606ceac1",2,"49779",21.96942,-102.290803333333,24.125,1863.9,1,,1,1,,,,2,1,0,0,1,0,0,,1,"encontrar diferencia entre que es merma y desperdicio",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.567471856515609,0,100,57
"04-59-39-62","43e26796f47645288e6e6a806ea76592",2,"11999",21.9142278,-102.2939875,23.5799999237061,1875.19995117188,1,,1,1,,,,1,1,1,0,0,0,0,,1,"##N/A##",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.287828848831276,0,100,60
"24-07-91-89","46294dbd8881403596f29085c5afcef5",2,"143",,,,,1,,1,1,,,,1,1,1,0,0,0,0,,,,,,,,,,,,,,0.367300843991014,0,100,56
"58-57-15-91","4b954ad8d46840728951b79c84428f1e",2,"##N/A##",21.9705433333333,-102.291316666667,24.75,1864,1,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,0.60384682128385,0,100,57
"73-95-78-35","4a7f065e1e2243dd8a05d52fb98f430b",2,"18290",21.90048368,-102.30532759,10.7200002670288,1870,1,,1,1,,,,1,1,1,0,1,0,0,,1,"si separa sus residuos",,,,,,"no conoce los banco de alimentos",,"no lleva registro de sus residuos","##N/A##","##N/A##",0.0675552222261,0,100,63
"56-17-32-17","486df450df8145118f5796b2a954f5d6",2,"25805",21.9143172,-102.2923796,24.0359992980957,1877.59997558594,1,,1,1,,,,1,1,0,0,1,0,0,,1,"aparentemente se incineran",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.729614356406785,0,100,60
"54-00-78-75","5316c91489b74d3789de254236d43d6b",2,"nuevo establecimiento",21.89213013,-102.30572224,7.50400018692017,1890,3,,,,,,,,,,,,,,,1,"no separa residuos",,,,,,"en ocasiones separa huesos y grasa para regalarlo",,"##N/A##","##N/A##","##N/A##",0.807616037227035,0,100,63
"38-93-12-09","58483686d83a474f81a3c45a41c88bbf",2,"13473",21.864824,-102.2693975,26.8579998016357,1882.19995117188,1,,1,1,,,,1,1,1,0,1,0,0,,1,"no tiene residuos para fotografia",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.540390156461108,0,100,60
"59-89-02-75","5e9e1c3f1fd8410aafbc30eebf22578d",2,"20089",21.885421,-102.2877447,23.8299999237061,1865.69995117188,1,,1,1,,,,1,1,0,1,1,0,0,,1,"##N/A##",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.935813148010435,0,100,60
"53-85-34-21","617c1795cc3846228b924cf3246acb95",2,"12291",21.9129091,-102.2935225,25.2180004119873,1875.40002441406,1,,1,1,,,,1,1,0,0,0,1,0,,1,"##N/A##",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.192922324032021,0,100,60
"53-27-23-59","66fce4e079a94f7693191d79cf6ce2a5",1,,,,,,1,,1,1,,,,1,1,0,1,0,1,0,,1,"error de captura, corregir animal",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.760547991730528,0,100,60
"96-57-45-57","6768cacb96514fe78104388a2824d58b",2,"3402",21.83189085,-102.29138422,22,1870,1,,1,1,,,,1,1,0,0,1,0,0,,1,"Muy amable la persona.",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.388173275342292,0,130,54
"53-49-26-41","82eb3f4759634438993e880cd877a38d",2,"9015",21.8319216666667,-102.290541666667,1.29999995231628,1872.3,1,,1,1,,,,1,1,1,0,0,0,0,,1,"todo es para  sus animales",,,,,,"no pudo estimar un aproximado de sus residuos",,"##N/A##","##N/A##","##N/A##",0.470818973831282,0,130,53
"12-72-69-88","81481e6110c141f18cd478542e3a0c6d",2,"9016",21.83171517,-102.2897383,43,1866,1,,1,1,,,,1,1,1,0,0,0,0,,1,"no pudo estimar la cantidad de ningun residuo, ni lo que se va a banco de alimentos",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.699215116304911,0,130,54
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",2,"30783",21.85889895,-102.26069673,11.7919998168945,1949.49584960938,1,,1,1,,,,1,1,1,0,1,0,1,"el que sobra de los platillos servidos",1,"no siempre tiene banquetes donde produzca residuos alimenticios",,,,,,"##N/A##",,"##N/A##","##N/A##","##N/A##",0.854931381929168,0,100,60
