llave,folio_sist,tipo,id_denue,latitud,longitud,prec,altitud,planeado,nvo_establec,saludo,acepta,consumo,mercado,residuos_vc,residuos_vp,residuos_ac,residuos_ap,residuos_ot,ot_residuos_e,despedida,obs_1,obs_2,obs_3,obs_4,obs_5
00-92-24-77,bcbf247742134c8982a15c15fdf9c0ef,2,25611,21.9140582,-102.2969379,23.64500046,1873.199951,1,,1,1,1,1,1,0,0,0,0,,1,50 kg para regalar a comedores,,,,
01-28-97-08,1ffa0c97708342d78431cc7dedd9c607,2,99999134,21.8848585,-102.295712,24.0510006,1861.099976,1,,1,1,1,1,1,0,0,0,0,,1,,,,,
01-94-17-72,06646be259914374be344401f7fa2113,2,40833,21.8536546,-102.303157,24.87700081,1853.099976,1,,1,1,1,1,0,0,0,0,1,mezcla de alimentos crudos y procesados,1,"nos atendieron en la oficina, por lo que no fue posible tomar la foto",,no separan los residuos,si saben lo que es el banco de alimentos,no llevan registros de sus residuos
03-05-58-94,58508653032d427990bea8c7b490a491,2,28013,21.873013,-102.258364,,,1,,1,1,1,1,1,0,0,0,0,,1,,,,,
04-59-39-62,43e26796f47645288e6e6a806ea76592,2,11999,21.9142278,-102.2939875,23.57999992,1875.199951,1,,1,1,1,1,1,0,0,0,0,,1,,,,,
06-88-03-86,6e951b960a744281bbcc9e8122194798,2,99999535,21.8736229,-102.2698993,17.15200043,1894,1,,1,1,1,1,1,0,0,0,0,,1,no desperdician nada,,la venta es por temporada,,
07-42-68-66,35f3597b869c44b982828854148c49fd,2,36324,21.883947,-102.297148,,,1,,1,1,1,1,0,1,0,1,0,,1,separan sus residuos y después lo regalan,,si conoce el banco de datos,no lleva registro de sus residuos,
08-86-84-51,191252af015d45139bdae2e9445d0055,2,20562,21.8817208,-102.2841403,23.59700012,1865.799927,1,,1,1,1,1,0,0,1,0,0,,,,,,,
12-54-30-22,41c1ea1f454c4b768bed2695e5eb4b36,2,52082,21.889178,-102.251683,,,1,,1,1,1,1,,,,,,,1,Unicamente se dedican a la venta,,,,
12-72-69-88,81481e6110c141f18cd478542e3a0c6d,2,9016,21.83171517,-102.2897383,43,1866,1,,1,1,1,1,1,0,0,0,0,,1,"no pudo estimar la cantidad de ningun residuo, ni lo que se va a banco de alimentos",,,,
