"V1","V2","V3","V4"
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a",3,1
"25-21-49-04","00c8ce64fe7d434f84d64e961f545a79",5,2
"77-06-67-30","11f1b33a479b47a1b69e19f94e022a64",1,1
"77-06-67-30","11f1b33a479b47a1b69e19f94e022a64",2,1
"65-43-42-69","1011c2eddf2b4896b6c5a3a39ccbadaf",1,3
"50-22-36-53","16b9280b8d654643a96a5f4370d6e720",3,2
"08-86-84-51","191252af015d45139bdae2e9445d0055",3,2
"54-31-39-72","25e3002992ec48679df3270aea8b3662",1,3
"07-42-68-66","35f3597b869c44b982828854148c49fd",2,
"07-42-68-66","35f3597b869c44b982828854148c49fd",4,1
"70-77-87-59","3c92d73814b84f5eb49695b657083cb8",3,1
"55-95-73-76","43382bb17dff47429221517d606ceac1",3,1
"04-59-39-62","43e26796f47645288e6e6a806ea76592",1,1
"24-07-91-89","46294dbd8881403596f29085c5afcef5",1,1
"73-95-78-35","4a7f065e1e2243dd8a05d52fb98f430b",1,1
"73-95-78-35","4a7f065e1e2243dd8a05d52fb98f430b",3,1
"56-17-32-17","486df450df8145118f5796b2a954f5d6",3,3
"38-93-12-09","58483686d83a474f81a3c45a41c88bbf",1,1
"38-93-12-09","58483686d83a474f81a3c45a41c88bbf",3,1
"59-89-02-75","5e9e1c3f1fd8410aafbc30eebf22578d",2,1
"59-89-02-75","5e9e1c3f1fd8410aafbc30eebf22578d",3,2
"53-85-34-21","617c1795cc3846228b924cf3246acb95",4,1
"53-27-23-59","66fce4e079a94f7693191d79cf6ce2a5",2,2
"53-27-23-59","66fce4e079a94f7693191d79cf6ce2a5",4,
"96-57-45-57","6768cacb96514fe78104388a2824d58b",3,3
"53-49-26-41","82eb3f4759634438993e880cd877a38d",1,1
"12-72-69-88","81481e6110c141f18cd478542e3a0c6d",1,4
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",1,3
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",3,1
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",5,1
"98-38-33-96","8423170f4ace4aef9363def78726a00c",1,2
"92-86-79-74","8dc359d772ee499db97737d90ca5f66d",1,1
"92-86-79-74","8dc359d772ee499db97737d90ca5f66d",5,1
"66-30-95-73","ab6f684c53834c4e95c4ff4daee2eabd",1,3
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",1,2
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",3,1
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",5,1
"57-21-47-06","abdfff92309f48b48d5d170ac43c432b",3,1
"45-09-09-57","a64f864a2448412b96b4df92169f805b",1,1
"24-83-47-64","b747f0353a5f4b28836986150022b095",3,3
"00-92-24-77","bcbf247742134c8982a15c15fdf9c0ef",1,1
"23-97-42-63","cff52c5c9a094e99b0b6ed2a8c3b7aff",1,1
"23-97-42-63","cff52c5c9a094e99b0b6ed2a8c3b7aff",4,1
"67-37-55-52","c1e69af3d7f84744b9d45ba7db94f01c",1,2
"67-37-55-52","c1e69af3d7f84744b9d45ba7db94f01c",3,1
"24-69-38-16","d42fee3376704b98a4fbb89433bc7454",1,1
"24-69-38-16","d42fee3376704b98a4fbb89433bc7454",2,3
"40-37-10-26","bec2e02e479f4c3b88addec27ab864f7",1,1
"40-37-10-26","bec2e02e479f4c3b88addec27ab864f7",5,1
"58-77-79-42","d06af6f3a0554c81b2854aad1c2547c3",2,1
"14-33-22-22","c4924dc6464247c39da44ccee5a6970c",1,1
"14-33-22-22","c4924dc6464247c39da44ccee5a6970c",3,1
"13-35-20-12","da3b7c37368a4e6c9f34941ca0d2e76a",2,1
"13-35-20-12","da3b7c37368a4e6c9f34941ca0d2e76a",4,1
"73-57-70-18","e532888b76c2445eae4eec9b5b2cc958",3,1
"14-07-53-67","0735e088014d4c52a6987c050f8d53b7",1,1
"39-41-44-09","e62edcc64eb3428497151064dd4ea67a",1,1
"80-99-12-28","0dfea405c9f54721806a083988d2a218",2,3
"49-74-24-12","01a975d0dae644d596e6817ad486e57c",5,3
"43-11-23-41","07525eca43bb4e9b9721e775c4734cf7",1,1
"83-39-13-04","04b965f9cb8f4f5cb1b58c8ab4a2e5dd",1,1
"95-15-08-97","0ac1c503ded944d2bc280d4961ae0dfc",1,1
"32-04-68-91","0e5dcf441b06430296cf2dbd91052e96",1,1
"32-04-68-91","0e5dcf441b06430296cf2dbd91052e96",4,2
"13-89-84-35","473ea3f44567492f9a50d38100d0762d",1,3
"01-94-17-72","06646be259914374be344401f7fa2113",5,1
"29-98-77-65","120f5942ede34c539cbe4b8b10245b50",2,2
"10-60-75-17","125e29520d9247bb886bbbdbd28569b4",5,
"01-28-97-08","1ffa0c97708342d78431cc7dedd9c607",1,1
"69-55-14-11","32889765b21440339bceee5a9f8dd6ff",1,1
"70-85-90-36","25ad39bc3dc348309e0f3426ab0f0df6",1,2
