"V1","V2","V3","V4","V5","V5_0","V5_1","V6","V7","V8","V9","V10","V11","V12","V13","V14","V14_0","V14_1","V15","V16","V17","V18","V19","V20","V21"
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a",3,0,"pellejo hueso",,,35,2,,35,2,,2,,"no sé venden",,,2,,,,,1,"imagen_res___3-0.jpg"
"25-21-49-04","00c8ce64fe7d434f84d64e961f545a79",5,0,"mezcla",,,,,,,,,,,,,,8,,,,"Regalado",1,"imagen_res___5-0.jpg"
"25-21-49-04","00c8ce64fe7d434f84d64e961f545a79",5,1,"residuos varios",,,2,2,,2,2,,1,,"Lo que no se vende",,,8,,,,"Regalado a los empleados",2,
"77-06-67-30","11f1b33a479b47a1b69e19f94e022a64",1,0,"mezcla vegetales",,,2,2,,2,2,,1,,"no es parte del proceso",,,4,,,,,1,"imagen_res___1-0.jpg"
"77-06-67-30","11f1b33a479b47a1b69e19f94e022a64",2,0,"aceite vegetal quemado",,,2,4,,2,4,,5,"cada 2 días","el aceite ya está usado",,,8,,,,"lo regala",2,
"65-43-42-69","1011c2eddf2b4896b6c5a3a39ccbadaf",1,0,"jitomate",,,15,2,,0,,,2,,"humedad y el calor",,,8,,,,"lo dona a gente, y lo tira cuando de plano ya no sirve",1,"imagen_res___1-0.jpg"
"65-43-42-69","1011c2eddf2b4896b6c5a3a39ccbadaf",1,1,"pepino",,,2,2,,2,2,,2,,"maduración",,,4,,,,,2,
"65-43-42-69","1011c2eddf2b4896b6c5a3a39ccbadaf",1,2,"Guayaba",,,6,2,,0,,,2,,"maduración",,,8,,,,"donación",1,"imagen_res___1-2.jpg"
"50-22-36-53","16b9280b8d654643a96a5f4370d6e720",3,0,"pollo",,,20,2,,0,,,1,,"huso y pellejo",,,8,,,,"gente compra y no saben el destino final",2,
"50-22-36-53","16b9280b8d654643a96a5f4370d6e720",3,1,"huevo",,,2,5,"piezas",2,5,"piezas",5,"eventualmente","rotos",,,4,,,,,2,
"08-86-84-51","191252af015d45139bdae2e9445d0055",3,0,"res y cerdo",,,10,2,,0,,,2,,"huesos y pellejos",,,8,,,,"lo venden",1,"##N/A##"
"08-86-84-51","191252af015d45139bdae2e9445d0055",3,1,"pollo",,,2,2,,2,2,,1,,"huacal y pellejo",,,2,,,,,1,"##N/A##"
"54-31-39-72","25e3002992ec48679df3270aea8b3662",1,0,"calabaza",,,15,2,,6,2,,1,,"por la humedad",,,2,,,,,1,"##N/A##"
"54-31-39-72","25e3002992ec48679df3270aea8b3662",1,1,"coliflor",,,7,2,,7,2,,1,,"humedad del clima",,,2,,,,,1,"##N/A##"
"54-31-39-72","25e3002992ec48679df3270aea8b3662",1,2,"brocoli",,,7,2,,7,2,,1,,"humedad x clima",,,2,,,,,1,"##N/A##"
"07-42-68-66","35f3597b869c44b982828854148c49fd",4,0,"recorte de jamón",,,5,2,,,,,2,,"próximo a caducar",,,8,,,,"lo vende",1,"imagen_res___4-0.jpg"
"70-77-87-59","3c92d73814b84f5eb49695b657083cb8",3,0,"hueso de pollo",,,100,2,,100,2,,2,,"ya no escomestible",,,8,,,,"vende",1,"imagen_res___3-0.jpg"
"55-95-73-76","43382bb17dff47429221517d606ceac1",3,0,"cerdo",,,50,2,,10,2,,1,,"procesamiento del producto",,,2,,,,,1,"##N/A##"
"04-59-39-62","43e26796f47645288e6e6a806ea76592",1,0,"naranja",,,200,2,,50,2,,2,,"basura podrido",,,4,,,,,1,"imagen_res___1-0.jpg"
"24-07-91-89","46294dbd8881403596f29085c5afcef5",1,0,"jitomate",,,10,2,,5,2,,1,,"se echan a perder",,,4,,,,,2,
"73-95-78-35","4a7f065e1e2243dd8a05d52fb98f430b",1,0,"mezcla vegetales",,,300,1,,0,,,1,,"se echa a perder",,,4,,,,,1,"imagen_res___1-0.jpg"
"73-95-78-35","4a7f065e1e2243dd8a05d52fb98f430b",3,0,"huesos",,,30,2,,0,,,1,,"no sé ocupa para su venta",,,8,,,,"los regala",2,
"56-17-32-17","486df450df8145118f5796b2a954f5d6",3,0,"cerdo",,,100,2,,100,2,,1,,"hueso",,,8,,,,"alguien se lo lleva",1,"imagen_res___3-0.jpg"
"56-17-32-17","486df450df8145118f5796b2a954f5d6",3,1,"pollo",,,1500,1,,1500,1,,1,,"desperdicio de hueso y pellejo",,,8,,,,"se los lleva una persona",2,
"56-17-32-17","486df450df8145118f5796b2a954f5d6",3,2,"##N/A##",,,,,,,,,,,,,,,,,,,,
"38-93-12-09","58483686d83a474f81a3c45a41c88bbf",1,0,"jitomate",,,1,2,,1,2,,2,,"porque  se pudre",,,4,,,,,2,
"38-93-12-09","58483686d83a474f81a3c45a41c88bbf",3,0,"pollo y carne rojas",,,8,2,,8,2,,2,,"pellejo y grasa",,,8,,,,"donación a una persona",2,
"59-89-02-75","5e9e1c3f1fd8410aafbc30eebf22578d",2,0,"harina",,,0,,,,,,,,,,,2,,,,,2,
"59-89-02-75","5e9e1c3f1fd8410aafbc30eebf22578d",3,0,"leche",,,0,,,,,,,,,,,,,,,,,
"59-89-02-75","5e9e1c3f1fd8410aafbc30eebf22578d",3,1,"huevo",,,0,,,,,,,,,,,,,,,,,
"53-85-34-21","617c1795cc3846228b924cf3246acb95",4,0,"manteca",,,100,2,,100,2,,4,,"reciclada",,,8,,,,"convierte en bio diésel",2,
"53-27-23-59","66fce4e079a94f7693191d79cf6ce2a5",2,0,"jitomate",,,1,2,,500,1,,2,,"maduración pronta",,,8,,,,"regala",2,
"53-27-23-59","66fce4e079a94f7693191d79cf6ce2a5",2,1,"carne",,,500,1,,400,1,,1,,"no sé lo comen",,,4,,,,,2,
"96-57-45-57","6768cacb96514fe78104388a2824d58b",3,0,"cebo de la tripa de res",,,500,1,,500,1,,2,,"no tiene uso para ellos",,,8,,,,"Lo vende",1,"imagen_res___3-0.jpg"
"96-57-45-57","6768cacb96514fe78104388a2824d58b",3,1,"higado",,,10,2,,10,2,,2,,"se echa a perder rápidamente",,,8,,,,"lo regala",2,
"96-57-45-57","6768cacb96514fe78104388a2824d58b",3,2,"huesos",,,300,2,,300,2,,2,,"no tienen uso para eso",,,8,,,,"lo regalan",2,
"53-49-26-41","82eb3f4759634438993e880cd877a38d",1,0,"varias",,,,,,,,,,,,,,8,,,,"animales",1,"imagen_res___1-0.jpg"
"12-72-69-88","81481e6110c141f18cd478542e3a0c6d",1,0,"calabaza",,,,,,,,,,,,,,7,,,,,2,
"12-72-69-88","81481e6110c141f18cd478542e3a0c6d",1,1,"jitomate",,,,,,,,,,,,,,7,,,,,2,
"12-72-69-88","81481e6110c141f18cd478542e3a0c6d",1,2,"zanahoria",,,,,,,,,,,,,,7,,,,,2,
"12-72-69-88","81481e6110c141f18cd478542e3a0c6d",1,3,"forraje de la verdura o fruta",,,,,,,,,,,,,,2,,,,,2,
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",1,0,"zanahoria",,,2,2,,2,2,,5,"anual","cascaras",,,2,,,,,2,
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",1,1,"brocoli",,,0,,,,,,,,,,,,,,,,,
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",1,2,"coliflor",,,0,,,,,,,,,,,,,,,,,
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",3,0,"pollo",,,1,2,,1,2,,5,"anual","pellejos y huesos",,,2,,,,,2,
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",5,0,"sobras de platillos servidos",,,200,2,,0,,,5,"anual","sobras revueltas",,,2,,,,,2,
"98-38-33-96","8423170f4ace4aef9363def78726a00c",1,0,"jitomate",,,5,2,,3,2,,1,,"exceso de madurez",,,8,,,,"uso de las personas alcohólicas",1,"imagen_res___1-0.jpg"
"98-38-33-96","8423170f4ace4aef9363def78726a00c",1,1,"piña",,,7,2,,0,,,2,,"piña golpeada",,,8,,,,"La recoge la gente",1,"##N/A##"
"92-86-79-74","8dc359d772ee499db97737d90ca5f66d",1,0,"ajo",,,1,2,,1,2,,4,,"pudre",,,4,,,,,,
"92-86-79-74","8dc359d772ee499db97737d90ca5f66d",5,0,"latas, conservas",,,0,,,,,,,,,,,,,,,,,
"66-30-95-73","ab6f684c53834c4e95c4ff4daee2eabd",1,0,"melón",,,2,2,,2,2,,1,,"maduración rápida por la lluvia",,,8,,,,"regalando al centro de rehabilitación",,
"66-30-95-73","ab6f684c53834c4e95c4ff4daee2eabd",1,1,"sandía",,,7,2,,7,,,5,"tercer día","7",,,8,,,,"centro de Rehabilitación",,
"66-30-95-73","ab6f684c53834c4e95c4ff4daee2eabd",1,2,"papaya",,,3,2,,3,2,,1,,"producto de exhibición",,,8,,,,"centro de rehabilitación",1,"imagen_res___1-2.jpg"
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",1,0,"papa",,,2,2,,2,2,,1,,"cáscaras",,,2,,,,,2,
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",1,1,"zanahoria",,,1500,1,,1500,1,,1,,"cáscara",,,2,,,,,2,
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",3,0,"pollo",,,2,2,,2,2,,1,,"partes no comestibles",,,2,,,,,2,
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",5,0,"restos de comida",,,1,5,"bote de 20 litros, de los cuales la mitad son de otro.",1,5,"Bote de 20 litros de los cuales la mitad es de otro.",1,,"restos de comida",,,2,,,,,2,
"57-21-47-06","abdfff92309f48b48d5d170ac43c432b",3,0,"varios",,,6,2,,0,,,1,,"desperdicio",,,2,,,,,1,"imagen_res___3-0.jpg"
"45-09-09-57","a64f864a2448412b96b4df92169f805b",1,0,"varios",,,5,2,,0,,,1,,"desohojo",,,8,,,,"regalo a un señor",1,"imagen_res___1-0.jpg"
"24-83-47-64","b747f0353a5f4b28836986150022b095",3,0,"cerdo",,,50,2,,0,,,2,,"##N/A##",,,8,,,,"otras personas lo compran",1,"imagen_res___3-0.jpg"
"24-83-47-64","b747f0353a5f4b28836986150022b095",3,1,"##N/A##",,,,,,,,,,,,,,,,,,,,
"24-83-47-64","b747f0353a5f4b28836986150022b095",3,2,"##N/A##",,,,,,,,,,,,,,,,,,,,
"00-92-24-77","bcbf247742134c8982a15c15fdf9c0ef",1,0,"papa",,,50,2,,,,,1,,"podrido",,,4,,,,,1,"imagen_res___1-0.jpg"
"23-97-42-63","cff52c5c9a094e99b0b6ed2a8c3b7aff",1,0,"mezcla verduras y frutas",,,4,2,,0,,,1,,"residuos de vegetales y frutas",,,4,,,,,1,"imagen_res___1-0.jpg"
"23-97-42-63","cff52c5c9a094e99b0b6ed2a8c3b7aff",4,0,"residuos de comida",,,1,2,,0,,,1,,"comida que dejan los niños",,,4,,,,,1,"imagen_res___4-0.jpg"
"67-37-55-52","c1e69af3d7f84744b9d45ba7db94f01c",1,0,"jitomate",,,2,2,,2,2,,2,,"echado a perder",,,4,,,,,1,"imagen_res___1-0.jpg"
"67-37-55-52","c1e69af3d7f84744b9d45ba7db94f01c",1,1,"cáscara y gabazo de naranja",,,4,2,,4,2,,1,,"es cáscara",,,4,,,,,2,
"67-37-55-52","c1e69af3d7f84744b9d45ba7db94f01c",3,0,"pollo",,,5,2,,5,2,,1,,"es desecho",,,2,,,,,2,
"24-69-38-16","d42fee3376704b98a4fbb89433bc7454",1,0,"chile seco",,,1,2,,1,2,,2,,"rabo y semillas",,,4,,,,,2,
"24-69-38-16","d42fee3376704b98a4fbb89433bc7454",2,0,"mezcla de todos los ingredientes",,,1,2,,0,,,1,,"por limpieza del molino",,,8,,,,"donación",2,
"24-69-38-16","d42fee3376704b98a4fbb89433bc7454",2,1,"aceite vegetal",,,1500,5,"Mililitros",1500,5,"mililitros",4,,"ya está en la última etapa de reciclado",,,4,,,,,2,
"24-69-38-16","d42fee3376704b98a4fbb89433bc7454",2,2,"mole en estanteria",,,1500,1,,0,,,5,"anual","por fecha de caducidad",,,8,,,,"para donación o consumo propio",2,
"40-37-10-26","bec2e02e479f4c3b88addec27ab864f7",1,0,"orgánicos",,,1,5,"bote de 50 litros",1,5,"bote",1,,"son cáscaras y verduras",,,4,,,,,1,"imagen_res___1-0.jpg"
