"llave","folio_sist","tipo_resid","num_resid","id_denue","nombre_establecimiento","personas_ocupadas","tipo_actividad","tipo_unidad_economica","sector_scian"
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a",3,1,20185,"POLLERÍA EL GALLO DE ORO","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Semifijo","Terciario"
"25-21-49-04","00c8ce64fe7d434f84d64e961f545a79",5,2,9013,"GORDITAS GABY","0 a 5 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Semifijo","Terciario"
"77-06-67-30","11f1b33a479b47a1b69e19f94e022a64",1,1,99999005,"NA","NA","NA","NA","NA"
"77-06-67-30","11f1b33a479b47a1b69e19f94e022a64",2,1,99999005,"NA","NA","NA","NA","NA"
"65-43-42-69","1011c2eddf2b4896b6c5a3a39ccbadaf",1,3,20163,"PUESTO DE VERDURA SIN NOMBRE","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"50-22-36-53","16b9280b8d654643a96a5f4370d6e720",3,2,24392,"POLLERÍA LA PRINCIPAL","6 a 10 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"08-86-84-51","191252af015d45139bdae2e9445d0055",3,2,20562,"OBRADOR SAN FERNANDO","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"54-31-39-72","25e3002992ec48679df3270aea8b3662",1,3,49786,"CHARLIS FRUIT","6 a 10 personas","Comercio al por mayor de frutas y verduras frescas","Fijo","Terciario"
"07-42-68-66","35f3597b869c44b982828854148c49fd",2,"NA",36324,"CREMERIA NUEVA TERAN","11 a 30 personas","Comercio al por menor de leche, otros productos lácteos y embutidos","Fijo","Terciario"
"07-42-68-66","35f3597b869c44b982828854148c49fd",4,1,36324,"CREMERIA NUEVA TERAN","11 a 30 personas","Comercio al por menor de leche, otros productos lácteos y embutidos","Fijo","Terciario"
"70-77-87-59","3c92d73814b84f5eb49695b657083cb8",3,1,34097,"POLLERÍA POLLOS TALIVAN","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"55-95-73-76","43382bb17dff47429221517d606ceac1",3,1,49779,"CHICHARONERA LOS AZULEJOS","0 a 5 personas","Industria alimentaria","Fijo","Secundario"
"04-59-39-62","43e26796f47645288e6e6a806ea76592",1,1,11999,"COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS","0 a 5 personas","Comercio al por mayor de frutas y verduras frescas","Fijo","Terciario"
"24-07-91-89","46294dbd8881403596f29085c5afcef5",1,1,99999143,"NA","NA","NA","NA","NA"
"73-95-78-35","4a7f065e1e2243dd8a05d52fb98f430b",1,1,18290,"CARNICERÍA LA MINGA","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"73-95-78-35","4a7f065e1e2243dd8a05d52fb98f430b",3,1,18290,"CARNICERÍA LA MINGA","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"56-17-32-17","486df450df8145118f5796b2a954f5d6",3,3,25805,"CARNES SUPREMA EL RECREO","6 a 10 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"38-93-12-09","58483686d83a474f81a3c45a41c88bbf",1,1,13473,"CARNICERÍA NAJERA","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"38-93-12-09","58483686d83a474f81a3c45a41c88bbf",3,1,13473,"CARNICERÍA NAJERA","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"59-89-02-75","5e9e1c3f1fd8410aafbc30eebf22578d",2,1,20089,"INTEGRALES VIVA MÁS","11 a 30 personas","Panificación tradicional / Elaboración de galletas y pastas para sopa ","Fijo","Secundario"
"59-89-02-75","5e9e1c3f1fd8410aafbc30eebf22578d",3,2,20089,"INTEGRALES VIVA MÁS","11 a 30 personas","Panificación tradicional / Elaboración de galletas y pastas para sopa ","Fijo","Secundario"
"53-85-34-21","617c1795cc3846228b924cf3246acb95",4,1,12291,"EMPACADORA SAN FRANCISCO","0 a 5 personas","Comercio al por menor de otros alimentos","Fijo","Terciario"
"53-27-23-59","66fce4e079a94f7693191d79cf6ce2a5",2,2,6322,"NA","NA","NA","NA","NA"
"53-27-23-59","66fce4e079a94f7693191d79cf6ce2a5",4,"NA",6322,"NA","NA","NA","NA","NA"
"96-57-45-57","6768cacb96514fe78104388a2824d58b",3,3,34012,"GONVI PROCESADORA Y COMERCIALIZADORA DE CARNES Y VISCERAS","0 a 5 personas","Comercio al por mayor de carnes","Fijo","Terciario"
"53-49-26-41","82eb3f4759634438993e880cd877a38d",1,1,9015,"FRUTAS Y VERDURAS SG","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"12-72-69-88","81481e6110c141f18cd478542e3a0c6d",1,4,9016,"FRUTAS Y LEGUMBRES SIN NOMBRE","0 a 5 personas","Comercio al por mayor de frutas y verduras frescas","Fijo","Terciario"
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",1,3,30783,"EVENTOS Y BANQUETES MUROS","0 a 5 personas","Servicios de preparación de alimentos para ocasiones especiales","Fijo","Terciario"
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",3,1,30783,"EVENTOS Y BANQUETES MUROS","0 a 5 personas","Servicios de preparación de alimentos para ocasiones especiales","Fijo","Terciario"
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",5,1,30783,"EVENTOS Y BANQUETES MUROS","0 a 5 personas","Servicios de preparación de alimentos para ocasiones especiales","Fijo","Terciario"
"98-38-33-96","8423170f4ace4aef9363def78726a00c",1,2,99999007,"NA","NA","NA","NA","NA"
"92-86-79-74","8dc359d772ee499db97737d90ca5f66d",1,1,12241,"BODEGA SAN JUAN","0 a 5 personas","Comercio al por mayor de semillas y granos alimenticios, especias, chiles secos, leche y otros productos lácteos ","Fijo","Terciario"
"92-86-79-74","8dc359d772ee499db97737d90ca5f66d",5,1,12241,"BODEGA SAN JUAN","0 a 5 personas","Comercio al por mayor de semillas y granos alimenticios, especias, chiles secos, leche y otros productos lácteos ","Fijo","Terciario"
"66-30-95-73","ab6f684c53834c4e95c4ff4daee2eabd",1,3,10959,"NA","NA","NA","NA","NA"
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",1,2,497861,"NA","NA","NA","NA","NA"
